,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
55,35.0,8.0,9.5,21.0,28.0,25.16,26.99,15.98,18.45,87.39,100.65,5.89,4.02,938384.6554323797,0.004912867333218232
56,117.0,8.0,13.5,44.0,126.0,26.18,28.55,5.74,18.97,83.25,100.35,5.2,0.56,940978.135535594,0.004912867333218232
57,70.0,8.0,11.6,40.0,70.0,25.07,27.64,4.47,18.1,84.91,100.61,3.57,3.08,939483.191519575,0.004912867333218232
58,57.0,8.0,11.0,28.0,57.0,25.76,27.8,11.63,19.36,88.62,100.37,6.03,2.48,939539.5613566007,0.004912867333218232
59,55.0,8.0,10.9,33.0,55.0,25.3,27.21,28.93,19.05,90.14,100.4,5.64,2.3,939624.1224539054,0.004912867333218232
60,82.0,8.0,13.1,39.0,82.0,25.36,27.55,8.64,19.28,89.69,100.49,4.59,2.44,939680.5007469142,0.004912867333218232
61,49.0,8.0,12.2,29.0,49.0,25.28,27.89,1.14,19.51,90.17,100.42,5.73,1.75,939736.8824226715,0.004912867333218232
62,79.0,8.0,14.6,41.0,79.0,25.42,28.24,4.23,19.54,89.19,100.47,4.95,0.88,939877.8514129207,0.004912867333218232
63,57.0,9.0,15.8,27.0,57.0,24.66,27.33,8.25,17.59,83.35,100.67,6.18,4.14,938412.806972043,0.004912867333218232
64,73.0,9.0,14.7,27.0,73.0,26.16,28.7,20.02,20.11,89.56,100.5,8.05,0.22,940272.6770957484,0.004912867333218232
65,84.0,9.0,16.3,46.0,84.0,26.16,28.24,9.15,19.22,85.9,100.53,5.34,0.31,940329.0943026195,0.004912867333218232
66,68.0,9.0,12.8,41.0,62.0,25.85,27.78,7.6,19.23,87.39,100.83,6.52,0.15,940413.7264600206,0.004912867333218232
67,81.0,9.0,6.7,41.0,81.0,25.7,28.22,2.48,18.63,83.7,100.59,7.26,0.65,940498.3662345445,0.004912867333218232
68,54.0,9.0,9.5,22.0,54.0,25.72,28.05,2.97,18.66,83.8,100.54,4.94,0.22,940611.2311172854,0.004912867333218232
69,74.0,9.0,10.2,31.0,74.0,25.91,27.79,12.75,19.22,87.29,100.53,4.66,0.06,940667.6686377025,0.004912867333218232
70,104.0,10.0,10.6,48.0,106.0,26.68,28.56,1.7,19.72,85.68,100.42,5.28,0.16,940837.0015175791,0.004912867333218232
71,130.0,10.0,13.6,66.0,145.0,26.45,28.3,11.93,19.93,87.71,100.32,4.29,1.44,940893.4525844234,0.004912867333218232
72,197.0,10.0,12.9,89.0,187.0,26.51,28.21,1.04,19.48,85.51,100.31,4.19,0.62,941006.3648796601,0.004912867333218232
73,37.0,10.0,11.4,20.0,37.0,26.13,29.12,8.96,19.31,84.21,100.44,3.64,0.73,941091.0579932417,0.004912867333218232
74,40.0,11.0,11.2,22.0,40.0,26.13,28.2,19.1,19.34,86.1,100.7,4.12,0.92,942192.7623770008,0.004912867333218232
75,51.0,11.0,10.1,20.0,51.0,25.79,30.8,1.12,17.62,74.22,100.57,2.57,0.91,942277.5622695606,0.004912867333218232
76,42.0,11.0,8.2,24.0,42.0,25.43,27.94,8.61,18.41,84.42,100.71,3.58,1.73,942390.6406654336,0.004912867333218232
77,65.0,11.0,11.2,39.0,61.0,26.36,30.48,2.42,18.42,77.05,100.59,4.95,2.73,942447.1849520252,0.004912867333218232
78,52.0,12.0,6.7,28.0,52.0,24.55,29.51,0.15,17.69,79.46,100.67,3.7,2.95,942588.5605120473,0.004912867333218232
79,59.0,12.0,15.0,27.0,59.0,25.04,27.73,0.08,16.98,79.67,100.6,3.87,2.47,942645.1166740075,0.004912867333218232
80,120.0,12.0,9.9,56.0,130.0,25.14,29.3,4.36,17.38,77.78,100.79,2.72,2.25,942758.2391783941,0.004912867333218232
81,88.0,12.0,14.3,53.0,84.0,25.45,28.22,7.71,18.2,83.87,100.94,4.14,2.19,942843.0899653928,0.004912867333218232
82,243.0,12.0,27.3,103.0,171.0,24.7,30.28,0.17,16.33,71.29,100.87,2.67,2.17,942899.6613993493,0.004912867333218232
83,71.0,12.0,16.2,33.0,71.0,25.4,30.74,0.19,16.7,71.25,100.89,4.72,3.75,942927.9483891915,0.004912867333218232
84,112.0,12.0,16.0,63.0,118.0,23.15,29.97,0.0,13.85,63.55,101.04,5.03,3.74,942984.5249147301,0.004912867333218232
85,140.0,12.0,18.3,72.0,147.0,25.21,30.78,0.11,16.47,70.91,100.92,4.81,2.57,943041.104834911,0.004912867333218232
86,116.0,12.0,15.6,59.0,124.0,24.22,30.72,0.06,15.66,69.12,100.82,4.27,2.45,943097.6881499384,0.004912867333218232
87,69.0,12.0,8.9,41.0,69.0,24.07,30.52,0.0,13.96,61.74,100.68,4.65,0.22,943154.2748600149,0.004912867333218232
88,137.0,12.0,13.7,71.0,116.0,25.17,31.05,0.0,15.68,66.7,100.75,2.95,1.85,943210.8649653456,0.004912867333218232
89,187.0,12.0,13.8,86.0,142.0,23.51,28.36,0.0,13.31,64.92,100.71,4.95,2.1,943267.4584661333,0.004912867333218232
90,119.0,12.0,11.1,33.0,129.0,24.06,30.43,0.0,13.24,58.93,100.75,3.36,1.33,943324.0553625819,0.004912867333218232
91,133.0,1.0,6.7,70.0,97.0,25.89,29.41,0.0,14.88,64.97,100.59,2.32,2.76,943380.6556548955,0.004912867333218232
92,137.0,1.0,6.7,71.0,144.0,25.48,29.88,0.0,16.02,70.63,100.69,2.95,1.79,943437.2593432773,0.004912867333218232
93,133.0,1.0,11.6,70.0,133.0,25.26,29.85,0.0,15.21,67.41,100.67,3.16,2.46,943493.8664279317,0.004912867333218232
94,210.0,1.0,8.3,93.0,182.0,24.16,29.72,0.05,14.17,64.73,100.74,2.88,2.33,943578.7834233689,0.004912867333218232
95,197.0,1.0,11.4,89.0,170.0,22.39,31.9,0.0,13.98,62.31,100.78,3.68,3.01,943776.9528024187,0.004912867333218232
96,130.0,1.0,7.7,69.0,144.0,25.55,30.07,0.0,16.25,71.0,100.76,3.57,3.47,943833.5802689864,0.004912867333218232
97,140.0,1.0,4.5,72.0,125.0,25.36,30.07,0.02,16.28,71.26,100.56,4.1,4.27,944031.8031601895,0.004912867333218232
