,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster
48,184.285714285714,2.0,12.9285714285714,85.2857142857142,156.857142857142,0.0,15.62,66.05,100.86,31.25,25.85,1.68,5.47,934535.8669082676,14.583333333333334,2.0
49,193.809523809523,2.0,9.31428571428571,88.1428571428571,162.428571428571,0.0,16.53,67.69,100.72,31.94,26.43,2.32,6.88,934563.9029842748,14.583333333333334,2.0
50,203.333333333333,2.0,5.7,91.0,168.0,0.0,17.53,70.07,100.7,32.81,26.4,1.89,7.2,934591.9399013644,14.583333333333334,2.0
51,160.666666666666,2.0,13.05,68.0,147.5,0.0,17.09,67.44,100.78,33.09,26.76,0.62,6.4,934619.9776595614,14.583333333333334,2.0
52,118.0,2.0,20.4,45.0,127.0,0.0,16.38,63.16,100.82,34.03,27.04,0.16,5.98,934648.0162588912,14.583333333333334,2.0
53,120.0,2.0,21.8666666666666,46.3333333333333,130.0,0.0,16.12,62.87,100.84,33.69,26.72,1.15,5.33,934676.0556993792,14.583333333333334,2.0
54,122.0,2.0,23.3333333333333,47.6666666666666,133.0,0.0,16.6,66.54,100.67,32.78,26.77,1.45,6.3,934704.09598105,14.583333333333334,2.0
55,124.0,2.0,24.8,49.0,136.0,0.0,14.86,57.7,100.69,33.57,26.58,0.38,5.79,934732.1371039294,14.583333333333334,2.0
56,140.5,2.9,25.95,58.5,135.75,0.0,14.98,56.22,100.67,34.39,26.66,0.54,4.81,934760.1790680424,14.583333333333334,2.0
57,157.0,3.8,27.1,68.0,135.5,0.0,14.08,52.18,100.67,34.54,27.14,0.48,5.07,934788.2218734144,14.583333333333334,2.0
58,173.5,4.69999999999999,28.25,77.5,135.25,0.17,13.53,49.44,100.52,34.58,27.09,0.35,4.13,934816.2655200708,14.583333333333334,2.0
59,190.0,5.6,29.4,87.0,135.0,1.93,15.73,58.32,100.41,33.6,28.03,0.05,4.96,934844.3100080364,14.583333333333334,2.0
60,160.444444444444,4.76666666666666,23.1333333333333,68.3333333333333,124.0,6.66,17.56,72.04,100.49,31.1,26.7,0.53,4.48,934872.3553373368,14.583333333333334,2.0
